toi,tid,tfopwg_disp,rastr,ra,decstr,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
1057.01,323132914,PC,08h31m59.26s,127.9969170,-78d24m27.23s,-78.4075640,51.1710414,0.0002812,-0.0002812,0,6.4793585,0.3639887,-0.3639887,0,2.7958807,0.5423254,-0.5423254,0,11.2145624,,,,466.7295868,,,,9.4091000,0.006,-0.006,0,5599.0000000,187.0000000,-187.0000000,0,4.4613800,0.2699800,-0.2699800,0,0.9433560,0.0456583,-0.0456583,0
1058.01,31553893,PC,19h15m38.83s,288.9117720,-31d47m26.93s,-31.7908130,11.1296402,0.0002401,-0.0002401,0,7.1068241,0.3739165,-0.3739165,0,12.9783824,0.8953745,-0.8953745,0,1255.7000000,,,,1518.2000000,,,,9.3781000,0.007,-0.007,0,5785.0000000,189.0000000,-189.0000000,0,4.3440000,2.0035600,-2.0035600,0,3.4475601,0.1744170,-0.1744170,0
1059.01,380783252,PC,17h58m51.48s,269.7145030,-60d55m21.82s,-60.9227270,9.4496506,0.0000028,-0.0000028,0,2.0210000,0.0270000,-0.0270000,0,17.0216000,1.1024900,-1.1024900,0,38.5799000,,,,694.0000000,,,,9.7825000,0.006,-0.006,0,5509.0000000,186.0000000,-186.0000000,0,4.3975800,2.0040800,-2.0040800,0,0.9400000,0.0600000,-0.0600000,0
106.01,38846515,KP,04h35m50.36s,68.9598160,-64d01m37.34s,-64.0270390,2.8493824,0.0000042,-0.0000042,0,3.8060000,0.5320000,-0.5320000,0,16.4149000,0.7423970,-0.7423970,0,3854.8800000,,,,2195.0000000,,,,10.3157000,0.006,-0.006,0,6900.0000000,,,0,4.4380000,,,0,1.7700000,0.0800000,-0.0800000,0
1060.01,101230735,APC,19h57m09.84s,299.2909950,-48d56m04.11s,-48.9344760,2.0685590,0.0000125,-0.0000125,0,0.9982308,0.3191344,-0.3191344,0,2.8451407,3.0135126,-3.0135126,0,1195.9870751,,,,1499.8622384,,,,9.6652000,0.006,-0.006,0,5687.9000000,76.0000000,-76.0000000,0,4.6000000,0.1200000,-0.1200000,0,1.1390600,0.0703920,-0.0703920,0
1061.01,253990973,FP,18h58m45.34s,284.6889080,-41d14m32.94s,-41.2424830,0.5409330,0.0001070,-0.0001070,0,1.6743370,0.3297570,-0.3297570,0,2.2850100,0.5732300,-0.5732300,0,,,,,,,,,9.7345000,0.006,-0.006,0,5525.0000000,186.0000000,-186.0000000,0,4.2534200,0.2966700,-0.2966700,0,1.2193500,0.1645800,-0.1645800,0
1062.01,299799658,CP,02h32m29.03s,38.1209680,-78d01m25.26s,-78.0236830,4.1150133,0.0000113,-0.0000113,0,1.1960092,0.2285306,-0.2285306,0,2.0840072,1.7375827,-1.7375827,0,225.9571600,,,,988.8405704,,,,9.4780000,0.006,-0.006,0,5394.0000000,185.0000000,-185.0000000,0,4.5094200,0.2760770,-0.2760770,0,0.8873360,0.0506532,-0.0506532,0
1063.01,406976746,PC,15h22m13.32s,230.5554930,-83d03m22.37s,-83.0562140,10.0665634,0.0000409,-0.0000409,0,1.9810000,0.2580000,-0.2580000,0,2.0996600,0.1414380,-0.1414380,0,23.8187000,,,,615.0000000,,,,9.0689000,0.006,-0.006,0,5552.0000000,187.0000000,-187.0000000,0,4.6178300,0.2634630,-0.2634630,0,0.7900000,0.0500000,-0.0500000,0
1064.01,79748331,CP,19h44m00.94s,296.0039350,-47d33m43.31s,-47.5620300,6.4438568,0.0000358,-0.0000358,0,1.9034071,0.3156658,-0.3156658,0,2.4800254,1.2834306,-1.2834306,0,60.8314178,,,,712.2816141,,,,10.0059000,0.006,-0.006,0,4803.0000000,178.0000000,-178.0000000,0,4.5207900,2.0034800,-2.0034800,0,0.7371890,0.0567035,-0.0567035,0
1064.02,79748331,CP,19h44m00.94s,296.0039350,-47d33m43.31s,-47.5620300,12.2264881,0.0000884,-0.0000884,0,2.1689136,0.4113601,-0.4113601,0,2.5664499,2.1035123,-2.1035123,0,25.8972395,,,,575.3513252,,,,10.0059000,0.006,-0.006,0,4803.0000000,178.0000000,-178.0000000,0,4.5207900,2.0034800,-2.0034800,0,0.7371890,0.0567035,-0.0567035,0
1065.01,7088246,KP,19h05m28.02s,286.3667500,-50d04m02.46s,-50.0673500,2.1603440,0.0002760,-0.0002760,0,1.8288540,0.1448100,-0.1448100,0,22.5035410,17.5002040,-17.5002040,0,,,,,,,,,13.2851000,0.006,-0.006,0,5780.0000000,,,0,4.3292800,,,0,1.2000000,,,0
1066.01,201604954,KP,19h00m23.16s,285.0965170,-54d53m36.03s,-54.8933410,4.6061840,0.0003920,-0.0003920,0,3.1216430,0.0788770,-0.0788770,0,12.9622190,0.5821830,-0.5821830,0,,,,,,,,,11.9707000,0.006,-0.006,0,5670.0000000,,,0,4.3925000,,,0,1.0700000,,,0
1067.01,201642601,KP,19h14m41.28s,288.6720050,-59d34m45.66s,-59.5793500,3.1316589,0.0000093,-0.0000093,0,2.3372757,0.0993462,-0.0993462,0,8.8310592,0.5221478,-0.5221478,0,148.6554235,,,,890.5635978,,,,13.1686000,0.006,-0.006,0,4351.0000000,167.0000000,-167.0000000,0,4.4380000,,,0,0.7670100,,,0
1068.01,6663331,KP,18h57m35.94s,284.3997620,-49d08m18.65s,-49.1385130,3.1803620,0.0002470,-0.0002470,0,2.1115210,0.1062580,-0.1062580,0,13.4464870,0.6006790,-0.6006790,0,,,,,,,,,13.2887000,0.006,-0.006,0,5498.0000000,,,0,4.4793400,,,0,0.9200000,,,0
1069.01,31858843,KP,19h17m55.01s,289.4792120,-32d51m36.45s,-32.8601240,2.9776369,0.0000020,-0.0000020,0,3.1240443,0.0175714,-0.0175714,0,14.0369087,0.7440518,-0.7440518,0,865.4929900,,,,1383.3613518,,,,10.4293000,0.006,-0.006,0,5703.0000000,188.0000000,-188.0000000,0,4.2582400,0.2982820,-0.2982820,0,1.2202600,0.0644121,-0.0644121,0
107.01,92352620,KP,20h55m07.98s,313.7832390,-34d08m08.7s,-34.1357510,3.9502009,0.0000016,-0.0000016,0,4.5643642,0.0181327,-0.0181327,0,19.7058959,0.8632607,-0.8632607,0,1364.0898402,,,,1549.9956992,,,,9.6433000,0.006,-0.006,0,6153.0000000,,,0,4.1807700,,,0,1.7103601,0.0746130,-0.0746130,0
1070.01,31858844,FP,19h17m54.85s,289.4785410,-32d51m40.78s,-32.8613270,2.9776152,0.0000978,-0.0000978,0,3.2569700,0.0302260,-0.0302260,0,26.8842300,0.1969780,-0.1969780,0,873.2700000,,,,1386.5000000,,,,15.7114000,0.023,-0.023,0,5740.0000000,,,0,4.2921900,,,0,1.2800000,,,0
1071.01,120247528,KP,18h40m44.2s,280.1841690,-58d27m33.8s,-58.4593880,3.5538140,0.0002370,-0.0002370,0,2.0565780,0.0482960,-0.0482960,0,12.5397440,12.5427090,-12.5427090,0,,,,,,,,,11.5803000,0.006,-0.006,0,5639.0000000,188.0000000,-188.0000000,0,4.3717200,2.0038700,-2.0038700,0,1.0797300,1.0797300,-1.0797300,0
1072.01,140830390,FP,05h02m30.55s,75.6273070,-72d54m50.39s,-72.9139980,12.8379689,0.0031236,-0.0031236,0,9.8464123,0.1878411,-0.1878411,0,25.4886382,1.3767760,-1.3767760,0,374.1290000,,,,1225.0000000,,,,11.7106000,0.006,-0.006,0,5765.0000000,189.0000000,-189.0000000,0,4.3477300,2.0035800,-2.0035800,0,2.4494000,0.1169900,-0.1169900,0
